id,code,name,parent_city_id/id
commune_1107170,1107170,Alakamisy,
commune_1218050,1218050,Alakamisy,
commune_1305212,1305212,Alakamisy Ambohidehibe,
commune_2203210,2203210,Alakamisy Ambohijato,
commune_2120250,2120250,Alakamisy Ambohimaha,
commune_2204210,2204210,Alakamisy Ambohimahazo,
commune_1209070,1209070,Alakamisy Anativato,
commune_1117312,1117312,Alakamisy Fenoarivo,
commune_2120391,2120391,Alakamisy Itenina,
commune_1209230,1209230,Alakamisy Marososona,
commune_1106090,1106090,Alarobia,
commune_1210291,1210291,Alarobia Antanamalaza,
commune_1209390,1209390,Alarobia Bemaha,
commune_1115110,1115110,Alarobia Vatosola,
commune_1102010,1102010,Alasora,
commune_1117250,1117250,Alatsinain' Ambazaha,
commune_1312250,1312250,Alatsinainikely,
commune_1115070,1115070,Alatsinainy Bakaro,
commune_2120350,2120350,Alatsinainy Ialamarina,
commune_1218250,1218250,Alatsinainy Ibity,
commune_2310630,2310630,Ambahatrazo,
commune_5104050,5104050,Ambahikily,
commune_5218151,5218151,Ambahita,
commune_5106370,5106370,Ambahitrimitsinjo,
commune_2310230,2310230,Ambahive,
commune_51602,51602,AMBAHOABE,
commune_3218090,3218090,Ambahoabe,
commune_2307030,2307030,Ambahy,
commune_7117090,7117090,Ambakirano,
commune_4308170,4308170,Ambakireny,
commune_2307210,2307210,Ambakobe,
commune_3107230,3107230,Ambalabe,
commune_7210170,7210170,Ambalabe,
commune_4115092,4115092,Ambalabe Befanjava,
commune_7119130,7119130,Ambalahonko,
commune_2309370,2309370,Ambalahosy Avaratra,
commune_4304112,4304112,Ambalajia,
commune_2120030,2120030,Ambalakely,
commune_4115031,4115031,Ambalakida,
commune_2108072,2108072,Ambalakindresy,
commune_4210210,4210210,Ambalakirajy,
commune_2120210,2120210,Ambalamahasoa,
commune_2203250,2203250,Ambalamanakana,
commune_7212210,7212210,Ambalamanasy II,
commune_2120590,2120590,Ambalamidera II,
commune_1411250,1411250,Ambalanirana,
commune_4304130,4304130,Ambalanjanakomby,
commune_3317052,3317052,Ambalanomby,
commune_3109070,3109070,Ambalapaiso II,
commune_2310690,2310690,Ambalaroka,
commune_4214212,4214212,Ambalaromba,
commune_3106210,3106210,Ambalarondra,
commune_7216130,7216130,Ambalasatrana,
commune_5317070,5317070,Ambalasoa,
commune_2513470,2513470,Ambalatany,
commune_1117450,1117450,Ambalavao,
commune_2105010,2105010,Ambalavao,
commune_2513410,2513410,Ambalavato,
commune_5121032,5121032,Ambalavato,
commune_2310410,2310410,Ambalavero,
commune_3107110,3107110,Ambalavolo,
commune_4211070,4211070,Ambaliha,
commune_4316070,4316070,Ambaliha,
commune_7119250,7119250,Ambaliha,
commune_2310550,2310550,Ambandrika,
commune_3313032,3313032,Ambandrika,
commune_5216031,5216031,Ambanisarika,
commune_1106210,1106210,Ambanitsena,
commune_7119010,7119010,Ambanja CU,
commune_4209031,4209031,Ambanjabe,
commune_1218010,1218010,Ambano,
commune_7117231,7117231,Ambarakaraka,
commune_4212150,4212150,Ambararata,
commune_4214270,4214270,Ambararata Nord,
commune_4214290,4214290,Ambararata Sofia,
commune_1411290,1411290,Ambararatabe (Bemahatazana),
commune_4211012,4211012,Ambarijeby Sud,
commune_4210170,4210170,Ambarikorano,
commune_4107092,4107092,Ambarimanenga,
commune_4210190,4210190,Ambaripaika,
commune_1103390,1103390,Ambato,
commune_4105019,4105019,Ambato Ambarimay,
commune_5315114,5315114,Ambatoabo,
commune_7211450,7211450,Ambatoafo (Fir Beanantsindra),
commune_1313210,1313210,Ambatoasana Afovoany,
commune_7117110,7117110,Ambatoben'Anjavy,
commune_1117470,1117470,Ambatofahavalo,
commune_2202010,2202010,Ambatofinandrahana,
commune_3109110,3109110,Ambatofisaka II,
commune_2203390,2203390,Ambatofitorahana,
commune_2311031,2311031,Ambatofotsy,
commune_51101,51101,AMBATOHARANANA,
commune_51801,51801,AMBATOHARANANA,
