id,name,postal_code,commune_id/id
fokontany_1101001_001,Ambalavao-Isotry,101,commune_1101001
fokontany_1101001_002,Ambatonakanga-Ambohitsorohitra,101,commune_1101001
fokontany_1101001_003,Ambatovinaky,101,commune_1101001
fokontany_1101001_004,Ambodifilao-Soarano II S,101,commune_1101001
fokontany_1101001_005,Ampandrana-Ankadivato,101,commune_1101001
fokontany_1101001_006,Amparibe-Avaratr'Imahamasina,101,commune_1101001
fokontany_1101001_007,Ampasamadinika-Amboasarikely,101,commune_1101001
fokontany_1101001_008,Anatihazo Isotry,101,commune_1101001
fokontany_1101001_009,Andavamamba-Anatihazo I,101,commune_1101001
fokontany_1101001_010,Andavamamba-Anatihazo II,101,commune_1101001
fokontany_1101001_011,Andavamamba-Anjezika I,101,commune_1101001
fokontany_1101001_012,Andavamamba-Anjezika II,101,commune_1101001
fokontany_1101001_013,Andohatapenaka I,101,commune_1101001
fokontany_1101001_014,Andohatapenaka II,101,commune_1101001
fokontany_1101001_015,Andohatapenaka III,101,commune_1101001
fokontany_1101001_016,Andranomanalina Afovoany,101,commune_1101001
fokontany_1101001_017,Andranomanalina I,101,commune_1101001
fokontany_1101001_018,Andranomanalina-Isotry,101,commune_1101001
fokontany_1101001_019,Ankasina,101,commune_1101001
fokontany_1101001_020,Antanimalalaka-Analakely,101,commune_1101001
fokontany_1101001_021,Antetezana Afovoany I,101,commune_1101001
fokontany_1101001_022,Antetezana Afovoany II,101,commune_1101001
fokontany_1101001_023,Antohomadinika Afovoany III F,101,commune_1101001
fokontany_1101001_024,Antohomadinika Atsimo,101,commune_1101001
fokontany_1101001_025,Antohomadinika-Antaniavo,101,commune_1101001
fokontany_1101001_026,Antohomadinika-FAAMI,101,commune_1101001
fokontany_1101001_027,Antohomadinika III G Hangar,101,commune_1101001
fokontany_1101001_028,Avaratetezana-Bekiraro,101,commune_1101001
fokontany_1101001_029,Cité-Ambodin'Isotry,101,commune_1101001
fokontany_1101001_030,Cité Ampefiloha,101,commune_1101001
fokontany_1101001_031,Cité 67 ha Afovoany-Andrefana,101,commune_1101001
fokontany_1101001_032,Cité 67 ha Atsimo,101,commune_1101001
fokontany_1101001_033,Cité 67 ha Avaratra-Andrefana,101,commune_1101001
fokontany_1101001_034,Cité 67 ha Avaratra-Atsinanana,101,commune_1101001
fokontany_1101001_035,Lalamby sy ny Manodidina,101,commune_1101001
fokontany_1101001_036,Faravohitra Ambony,101,commune_1101001
fokontany_1101001_037,Faravohitra-Mandrosoa,101,commune_1101001
fokontany_1101001_038,Isoraka-Ampatsakana-Ambalavao,101,commune_1101001
fokontany_1101001_039,Tsaralalàna-Isotry FIATA,101,commune_1101001
fokontany_1101001_040,Manarintsoa Afovoany,101,commune_1101001
fokontany_1101001_041,Manarintsoa Anatihazo,101,commune_1101001
fokontany_1101001_042,Manarintsoa Antsinanana,101,commune_1101001
fokontany_1101001_043,Manarintsoa Isotry,101,commune_1101001
fokontany_1101001_044,Ambondrona-Tsiazotafo,101,commune_1101001
fokontany_1101002_001,Ambohipo,101,commune_1101002
fokontany_1101002_002,Ambolokandrina,101,commune_1101002
fokontany_1101002_003,Androndrakely,101,commune_1101002
fokontany_1101002_004,Morarano,101,commune_1101002
fokontany_1101002_005,Tsiadana,101,commune_1101002
fokontany_1101002_006,Ambohitsoa,101,commune_1101002
fokontany_1101002_007,Faliarivo Ambanidia,101,commune_1101002
fokontany_1101002_008,Mandroseza,101,commune_1101002
fokontany_1101002_009,Antanimora Ampasanimalo,101,commune_1101002
fokontany_1101002_010,Ambatoroka,101,commune_1101002
fokontany_1101002_011,Ambohimiandra,101,commune_1101002
fokontany_1101002_012,Miandrarivo,101,commune_1101002
fokontany_1101002_013,Manakambahiny,101,commune_1101002
fokontany_1101002_014,Mahazoarivo,101,commune_1101002
fokontany_1101002_015,Andafiavaratra,101,commune_1101002
fokontany_1101002_016,Manjakamiadana,101,commune_1101002
fokontany_1101002_017,Ampamantanana,101,commune_1101002
fokontany_1101002_018,Andohanimandroseza,101,commune_1101002
fokontany_1101002_019,Antsahabe,101,commune_1101002
fokontany_1101002_020,Volosarika,101,commune_1101002
fokontany_1101002_021,Ambohipotsy,101,commune_1101002
fokontany_1101002_022,Ambohitsiroa VN,101,commune_1101002
fokontany_1101002_023,Ankazotokana Ambony,101,commune_1101002
fokontany_1101002_024,Andohamandry,101,commune_1101002
fokontany_1101003_001,Ambatomitsangana,101,commune_1101003
fokontany_1101003_002,Antsakaviro Ambodirotra,101,commune_1101003
fokontany_1101003_003,Ambodivona Ankadifotsy,101,commune_1101003
fokontany_1101003_004,Ambohibary Antanimena,101,commune_1101003
fokontany_1101003_005,Ambohitrakely,101,commune_1101003
fokontany_1101003_006,Ampahibe,101,commune_1101003
fokontany_1101003_007,Ampandrana ouest,101,commune_1101003
fokontany_1101003_008,Ampandrana est,101,commune_1101003
fokontany_1101003_009,Ampandrana Besarety,101,commune_1101003
fokontany_1101003_010,Andranomahery Ankorondrano,101,commune_1101003
fokontany_1101003_011,Andravoahangy Ouest,101,commune_1101003
fokontany_1101003_012,Andravoahangy est,101,commune_1101003
fokontany_1101003_013,Andravoahangy tsena,101,commune_1101003
fokontany_1101003_014,Ankadifotsy Antanifotsy,101,commune_1101003
fokontany_1101003_015,Ankaditapaka Nord,101,commune_1101003
fokontany_1101003_016,Ankadivato II L,101,commune_1101003
fokontany_1101003_017,Ankazomanga Andraharo,101,commune_1101003
fokontany_1101003_018,Ankorondrano Ouest,101,commune_1101003
fokontany_1101003_019,Ankorondrano est,101,commune_1101003
fokontany_1101003_020,Antanimena,101,commune_1101003
fokontany_1101003_021,Antaninandro Ampandrana,101,commune_1101003
fokontany_1101003_022,Avaradoha,101,commune_1101003
fokontany_1101003_023,Befeletanana Ankadifotsy,101,commune_1101003
fokontany_1101003_024,Behoririka,101,commune_1101003
fokontany_1101003_025,Behoririka Ambatomitsangan,101,commune_1101003
fokontany_1101003_026,Behoririka Ankaditapaka,101,commune_1101003
fokontany_1101003_027,Besarety,101,commune_1101003
fokontany_1101003_028,Betongolo,101,commune_1101003
fokontany_1101003_029,Mahavoky,101,commune_1101003
fokontany_1101003_030,Mandialaza Amb/gana,101,commune_1101003
fokontany_1101003_031,Mandialaza Ambodivona,101,commune_1101003
fokontany_1101003_032,Mandialaza Ankadifotsy,101,commune_1101003
fokontany_1101003_033,Soavinandriana,101,commune_1101003
fokontany_1101003_034,Tsaramasay,101,commune_1101003
fokontany_1101004_001,Ambanin'Ampamarinana,101,commune_1101004
fokontany_1101004_002,Ampefiloha Ambodirano,101,commune_1101004
fokontany_1101004_003,Ampangabe Anjanakinifolo,101,commune_1101004
fokontany_1101004_004,Andavamamba Ambilanibe,101,commune_1101004
