id,name
region_alaotra_mangoro,Alaotra Mangoro
region_amoron_i_mania,Amoron’I Mania
region_analamanga,Analamanga
region_analanjirofo,Analanjirofo
region_androy,Androy
region_anosy,Anosy
region_atsimo_andrefana,Atsimo Andrefana
region_atsimo_atsinanana,Atsimo Atsinanana
region_atsinanana,Atsinanana
region_betsiboka,Betsiboka
region_boeny,Boeny
region_diana,Diana
region_haute_matsiatra,Haute Matsiatra
region_ihorombe,Ihorombe
region_itasy,Itasy
region_melaky,Melaky
region_menabe,Menabe
region_sava,Sava
region_sofia,Sofia
region_vakinankaratra,Vakinankaratra
region_vatovavy_fitovinany,Vatovavy Fitovinany
