commune_xmlid,district_xmlid
commune_1101001,district_analamanga_antananarivo_renivohitra
commune_1101002,district_analamanga_antananarivo_renivohitra
commune_1101003,district_analamanga_antananarivo_renivohitra
commune_1101004,district_analamanga_antananarivo_renivohitra
commune_1101005,district_analamanga_antananarivo_renivohitra
commune_1101006,district_analamanga_antananarivo_renivohitra
commune_1102010,district_analamanga_antananarivo_avaradrano
commune_2310630,district_vatovavy_fitovinany_manakara
commune_5104050,district_atsimo_andrefana_morombe
commune_5218151,district_androy_bekily
commune_2310230,district_vatovavy_fitovinany_manakara
commune_2307030,district_vatovavy_fitovinany_nosy_varika
commune_7117090,district_diana_ambilobe
commune_4308170,district_betsiboka_kandreho
commune_2307210,district_vatovavy_fitovinany_nosy_varika
commune_7119130,district_diana_ambanja
commune_4304112,district_betsiboka_maevatanana
commune_2120030,district_haute_matsiatra_lalangina
commune_4115031,district_boeny_mahajanga_ii
commune_2108072,district_haute_matsiatra_ambohimahasoa
commune_4210210,district_sofia_mandritsara
commune_2120210,district_haute_matsiatra_lalangina
commune_2203250,district_amoron_i_mania_ambositra
commune_1411250,district_analamanga_tsiroanomandidy
commune_4304130,district_betsiboka_maevatanana
commune_2310690,district_vatovavy_fitovinany_manakara
commune_4214212,district_sofia_bealanana
commune_3106210,district_atsinanana_brickaville
commune_7216130,district_sava_vohemar
commune_5317070,district_anosy_betroka
commune_2513470,district_atsimo_atsinanana_farafangana
commune_2310410,district_vatovavy_fitovinany_manakara
commune_3107110,district_atsinanana_vatomandry
commune_1106210,district_analamanga_manjakandriana
commune_4209031,district_sofia_port_berge
commune_1218010,district_vakinankaratra_antsirabe_ii
commune_7117231,district_diana_ambilobe
commune_4210170,district_sofia_mandritsara
commune_4210190,district_sofia_mandritsara
commune_1103390,district_analamanga_ambohidratrimo
commune_5315114,district_anosy_taolagnaro
commune_7117110,district_diana_ambilobe
commune_1117470,district_analamanga_antananarivo_atsimondrano
commune_2202010,district_amoron_i_mania_ambatofinandrahana
commune_2203390,district_amoron_i_mania_ambositra
commune_2311031,district_vatovavy_fitovinany_ikongo
commune_1106012,district_analamanga_manjakandriana
commune_2514212,district_atsimo_atsinanana_vangaindrano
commune_1106070,district_analamanga_manjakandriana
