commune_xmlid,postal_code
commune_1101001,101
commune_1101002,101
commune_1101003,101
commune_1101004,101
commune_1101005,101
commune_1101006,101
commune_2310630,316
commune_2310230,316
commune_2307030,320
commune_7117090,204
commune_4308170,412
commune_2307210,320
commune_7119130,203
commune_4304112,411
commune_4115031,402
commune_2108072,305
commune_2203250,306
commune_1411250,119
commune_4304130,411
commune_2310690,316
commune_7216130,209
commune_5317070,615
commune_2513470,312
commune_2310410,316
commune_3107110,508
commune_1106210,109
commune_7117231,204
commune_1103390,105
commune_5315114,614
commune_7117110,204
commune_2202010,309
commune_2203390,306
commune_2311031,319
commune_1106012,109
commune_2514212,313
commune_1106070,109
commune_1312050,118
commune_1107230,107
commune_2223170,310
commune_1214079,111
commune_2202110,309
commune_5317350,615
commune_1210090,104
commune_1209170,115
commune_51213,305
commune_2108190,305
commune_3203270,305
commune_3314210,514
commune_5216092,604
commune_1313132,117
commune_2310070,316
commune_7117010,204
commune_3108110,509
commune_7210190,206
commune_7216250,209
commune_2105190,303
commune_2203550,509
commune_3108170,509
commune_2105212,303
commune_51201,512
commune_3203090,512
commune_2311130,319
commune_7211370,208
commune_7212230,205
commune_2307310,320
commune_3108130,509
commune_7117172,509
commune_3108050,509
commune_2307151,320
commune_3110150,502
commune_1214230,502
commune_3110070,502
commune_3110092,502
commune_3107131,508
commune_3107030,508
commune_51103,513
commune_3204012,513
commune_7211130,208
commune_1216130,114
commune_1103010,105
commune_3314170,514
commune_2513270,312
commune_2105230,303
commune_2108010,305
commune_5120110,602
commune_7119232,203
commune_7119050,203
commune_1115091,106
commune_2306090,318
commune_1107330,107
commune_2311092,319
commune_7211210,208
commune_2108230,305
commune_2309310,317
commune_4103030,406
commune_1305290,112
commune_2223090,310
commune_1214179,111
commune_7210210,206
commune_1305050,112
commune_1106230,109
commune_7119390,203
commune_1106370,109
commune_1106290,109
commune_1106271,109
commune_5120150,602
commune_2311012,319
commune_4106051,404
commune_1104170,108
commune_5216050,604
commune_5216091,604
commune_4105112,403
commune_2202090,309
commune_1107099,107
commune_2514211,313
commune_7216270,209
commune_2310430,316
commune_2310313,316
commune_7210030,206
commune_5216152,604
commune_7210310,206
commune_4308130,412
commune_7216231,209
commune_1106410,109
commune_1103190,105
commune_1103210,105
commune_1107250,107
