code_bcm,name,status
1107170,Alakamisy,ambigu
1218050,Alakamisy,ambigu
1106090,Alarobia,ambigu
3107230,Ambalabe,ambigu
7210170,Ambalabe,ambigu
1117450,Ambalavao,ambigu
2105010,Ambalavao,ambigu
2513410,Ambalavato,ambigu
5121032,Ambalavato,ambigu
4211070,Ambaliha,ambigu
4316070,Ambaliha,ambigu
7119250,Ambaliha,ambigu
2310550,Ambandrika,ambigu
3313032,Ambandrika,ambigu
4212150,Ambararata,ambigu
51101,AMBATOHARANANA,ambigu
51801,AMBATOHARANANA,ambigu
3204092,Ambatoharanana,ambigu
3215092,Ambatoharanana,ambigu
3317072,Ambatoharanana,ambigu
1214030,Ambatolahy,ambigu
2416131,Ambatolahy,ambigu
5411091,Ambatolahy,ambigu
1103172,Ambatolampy,ambigu
1210010,Ambatolampy,ambigu
1411050,Ambatolampy,ambigu
2119070,Ambatomainty,ambigu
3312030,Ambatomainty,ambigu
4417011,Ambatomainty,ambigu
1106250,Ambatomena,ambigu
1218310,Ambatomena,ambigu
2306270,Ambia,ambigu
2416032,Ambia,ambigu
5409092,Ambia,ambigu
5112150,Ambinany,ambigu
1305090,Amboanana,ambigu
1107270,Amboasary,ambigu
3109150,Amboasary,ambigu
3314250,Amboasary,ambigu
4210391,Ambodiadabo,ambigu
4214211,Ambodiadabo,ambigu
51102,AMBODIAMPANA,ambigu
3204070,Ambodiampana,ambigu
4214230,Ambodiampana,ambigu
7211410,Ambodiampana,ambigu
3312270,Ambodimanga,ambigu
2309390,Ambodinonoka,ambigu
3109191,Ambodinonoka,ambigu
1106050,Ambohibary,ambigu
1107310,Ambohibary,ambigu
1218331,Ambohibary,ambigu
3314030,Ambohibary,ambigu
2223030,Ambohimahazo,ambigu
5216032,Ambohimalaza,ambigu
7211059,Ambohimalaza,ambigu
1102050,Ambohimanambola,ambigu
1209250,Ambohimanambola,ambigu
3106270,Ambohimanana,ambigu
1214110,Ambohimandroso,ambigu
2105071,Ambohimandroso,ambigu
2513330,Ambohimandroso,ambigu
1103270,Ambohimanjaka,ambigu
1209270,Ambohimasina,ambigu
1305270,Ambohimasina,ambigu
2223070,Ambohimilanja,ambigu
3109090,Ambohimilanja,ambigu
1103370,Ambohipihaonana,ambigu
1210050,Ambohipihaonana,ambigu
1103130,Ambohitrimanjaka,ambigu
1419071,Ambohitromby,ambigu
2120410,Ambondrona,ambigu
7113310,Ambondrona,ambigu
2202130,Amborompotsy,ambigu
5107050,Amborompotsy,ambigu
2203010,Ambositra,ambigu
5216011,Ambovombe,ambigu
5409070,Ampanihy,ambigu
5411032,Ampanihy,ambigu
4209092,Amparihy,ambigu
3107190,Ampasimadinika,ambigu
51804,AMPASIMAZAVA,ambigu
3107172,Ampasimazava,ambigu
3215070,Ampasimazava,ambigu
3106172,Ampasimbe,ambigu
3110170,Ampasimbe,ambigu
2310490,Ampasimpotsy,ambigu
2307170,Ampasinambo,ambigu
1117011,Ampitatafika,ambigu
1214050,Ampitatafika,ambigu
2513190,Amporoforo,ambigu
3110270,Amporoforo,ambigu
5216230,Analamary,ambigu
5315252,Analamary,ambigu
5317110,Analamary,ambigu
4214130,Analila,ambigu
51805,ANDASIBE,ambigu
3204170,Andasibe,ambigu
3215110,Andasibe,ambigu
3314070,Andasibe,ambigu
4316052,Andasibe,ambigu
2105072,Andrainjato,ambigu
5112130,Andranolava,ambigu
1209030,Andranomafana,ambigu
5105050,Andranomafana,ambigu
2309550,Andranomavo,ambigu
4103050,Andranomavo,ambigu
7212190,Andranomena,ambigu
4210470,Andratamarina,ambigu
2306070,Androrangavola,ambigu
2307152,Androrangavola,ambigu
3109131,Androrangavola,ambigu
4210310,Anjiabe,ambigu
2105090,Anjoma,ambigu
3101002,Anjoma,ambigu
2105211,Ankaramena,ambigu
5315090,Ankaramena,ambigu
1117190,Ankaraobato,ambigu
4106150,Ankaraobato,ambigu
4212190,Ankarongana,ambigu
7113210,Ankarongana,ambigu
2108050,Ankerana,ambigu
5402090,Ankiliabo,ambigu
5106450,Ankilivalo,ambigu
5409030,Ankilivalo,ambigu
5107070,Ankilizato,ambigu
5409091,Ankilizato,ambigu
3109132,Anosiarivo,ambigu
2513070,Anosy,ambigu
1218370,Antanambao,ambigu
2307270,Antanambao,ambigu
3313194,Antanandava,ambigu
3314310,Antanandava,ambigu
4210030,Antanandava,ambigu
1103350,Antanetibe,ambigu
1107211,Antanetibe,ambigu
1313110,Antanetibe,ambigu
51605,ANTANIFOTSY,ambigu
1214010,Antanifotsy,ambigu
3218030,Antanifotsy,ambigu
4106112,Antanimasaka,ambigu
2306012,Antaretra,ambigu
2309570,Antaretra,ambigu
51606,ANTENINA,ambigu
3110192,Antenina,ambigu
3218130,Antenina,ambigu
2310510,Anteza,ambigu
1104070,Antotohazo,ambigu
1115190,Antotohazo,ambigu
1214199,Antsahalava,ambigu
1210270,Antsampandrano,ambigu
1214290,Antsampandrano,ambigu
3205210,Antsiatsiaka,ambigu
4210450,Antsiatsiaka,ambigu
7119330,Antsirabe,ambigu
2416290,Antsoha,ambigu
4210050,Antsoha,ambigu
5410132,Antsoha,ambigu
7113290,Antsoha,ambigu
3312113,Beanana,ambigu
2522011,Befotaka,ambigu
3108190,Befotaka,ambigu
5409052,Befotaka,ambigu
3313152,Bejofo,ambigu
2514032,Bekaraoky,ambigu
7216350,Belambo,ambigu
1107212,Belanitra,ambigu
1214310,Belanitra,ambigu
1411230,Belobaka,ambigu
4115011,Belobaka,ambigu
1411210,Bemahatazana,ambigu
5411031,Bemahatazana,ambigu
7211350,Bemanevika,ambigu
4417012,Bemarivo,ambigu
4304050,Bemokotra,ambigu
5410131,Berevo,ambigu
1107370,Beronono,ambigu
5409150,Beronono,ambigu
2310730,Betampona,ambigu
3109030,Betampona,ambigu
5315210,Bevoay,ambigu
2120530,Fanjakana,ambigu
5103030,Fanjakana,ambigu
1117311,Fenoarivo,ambigu
2105290,Fenoarivo,ambigu
2202050,Fenoarivo,ambigu
2513510,Fenoarivo,ambigu
1103290,Fiadanana,ambigu
1104130,Fiadanana,ambigu
2108290,Fiadanana,ambigu
2204070,Fiadanana,ambigu
2307050,Fiadanana,ambigu
1411310,Fierenana,ambigu
3314270,Fierenana,ambigu
2203130,Ivato,ambigu
2312051,Ivato,ambigu
2517130,Ivato,ambigu
4304010,Maevatanana,ambigu
7119370,Maevatanana,ambigu
4402110,Mahabe,ambigu
1103310,Mahabo,ambigu
2312070,Mahabo,ambigu
5317170,Mahabo,ambigu
5409010,Mahabo,ambigu
3108011,Mahanoro,ambigu
3205238,Mahanoro,ambigu
2416110,Mahasoa,ambigu
2120291,Mahasoabe,ambigu
2312150,Mahasoabe,ambigu
3106070,Mahatsara,ambigu
2306230,Mahatsinjo,ambigu
2517030,Mahatsinjo,ambigu
4304172,Mahatsinjo,ambigu
2513150,Mahavelo,ambigu
2517150,Mahavelo,ambigu
1104110,Mahavelona,ambigu
1313170,Mahavelona,ambigu
3203170,Mahavelona,ambigu
2120610,Mahazoarivo,ambigu
2204170,Mahazoarivo,ambigu
2312270,Mahazoarivo,ambigu
2517051,Mahazoarivo,ambigu
2309250,Mahela,ambigu
3111030,Mahela,ambigu
4223010,Mampikony,ambigu
3111090,Manakana,ambigu
4308230,Manakana,ambigu
4106111,Manaratsandry,ambigu
3110191,Mangabe,ambigu
4304191,Mangabe,ambigu
1106011,Manjakandriana,ambigu
3108070,Manjakandriana,ambigu
4115050,Mariarano,ambigu
5120090,Maromiandra,ambigu
51807,MAROMITETY,ambigu
3215030,Maromitety,ambigu
4214190,Marotolana,ambigu
7119270,Marotolana,ambigu
3316052,Marovato,ambigu
4209150,Marovato,ambigu
5214050,Marovato,ambigu
7119231,Marovato,ambigu
7212110,Marovato,ambigu
1102410,Masindray,ambigu
4420050,Masoarivo,ambigu
1216150,Miandrarivo,ambigu
1411130,Miandrarivo,ambigu
51808,MIARINARIVO,ambigu
2105250,Miarinarivo,ambigu
3215130,Miarinarivo,ambigu
3316071,Miarinarivo,ambigu
4107011,Mitsinjo,ambigu
5112190,Mitsinjo,ambigu
51215,MORAFENO,ambigu
1305110,Morafeno,ambigu
2108130,Morafeno,ambigu
2309130,Morafeno,ambigu
3203250,Morafeno,ambigu
4212030,Morafeno,ambigu
4304173,Morafeno,ambigu
7211170,Morafeno,ambigu
1210030,Morarano,ambigu
1305150,Morarano,ambigu
3101003,Morarano,ambigu
2306051,Ranomafana,ambigu
3106171,Ranomafana,ambigu
5315190,Ranomafana,ambigu
2513490,Sahamadio,ambigu
