id,name,code,account_type,reconcile
pcg_1011,Capital souscrit - non appelé,101100,equity,FALSE
pcg_1012,Capital souscrit - appelé non versé,101200,equity,FALSE
pcg_1013,Capital souscrit - appelé versé,101300,equity,FALSE
pcg_1041,Primes d'émission,104100,equity,FALSE
pcg_1042,Primes de fusion,104200,equity,FALSE
pcg_1043,Primes d'apport,104300,equity,FALSE
pcg_1044,Primes de conversion d'obligations en actions,104400,equity,FALSE
pcg_1052,Ecart de réévaluation libre,105200,equity,FALSE
pcg_1058,Autre écart de réévaluation à l'étranger,105800,equity,FALSE
pcg_1061,Réserve légale,106100,equity,FALSE
pcg_1062,Réserves facultatives,106200,equity,FALSE
pcg_1063,Réserves statutaires ou concratuelles,106300,equity,FALSE
pcg_1064,Réserves réglementées,106400,equity,FALSE
pcg_1068,Autres réserves,106800,equity,FALSE
pcg_107,Ecart d'équivalence,107000,equity,FALSE
pcg_108,Compte de l'exploitant,108000,equity,FALSE
pcg_109,"Actionnaires, capital souscrit non appelé",109000,equity,FALSE
pcg_110,Report à nouveau solde créditeur,110000,equity,FALSE
pcg_119,Report à nouveau solde débiteur,119000,equity,FALSE
pcg_120,Résultat de l'exercice (bénéfice),120000,equity,FALSE
pcg_128,Résultat en instance d'affectation,128000,equity,FALSE
pcg_129,Résultat de l'exercice (perte),129000,equity,FALSE
pcg_1311,Etat,131100,equity,FALSE
pcg_1312,Régions,131200,equity,FALSE
pcg_1313,Départements,131300,equity,FALSE
pcg_1314,Communes,131400,equity,FALSE
pcg_1315,Collectivités publiques,131500,equity,FALSE
pcg_1316,Entreprises publiques,131600,equity,FALSE
pcg_1317,Entreprises et organismes privés,131700,equity,FALSE
pcg_1318,Autres,131800,equity,FALSE
pcg_132,Autres subventions d'investissement,132000,equity,FALSE
pcg_133,Impôts différés actif,133000,equity,FALSE
pcg_134,Impôts différés passif,134000,equity,FALSE
pcg_138,Autres produits et charges différés,138000,equity,FALSE
pcg_153,Provisions pour pensions et obligations similaires,153000,liability_current,FALSE
pcg_155,Provisions pour impôts,155000,liability_current,FALSE
pcg_156,Provisions pour renouvellement des immobilisations (concession),156000,liability_current,FALSE
pcg_158,Autres provisions pour charges - passifs non courants,158000,liability_current,FALSE
pcg_161,Emprunts obligataires convertibles,161000,liability_current,FALSE
pcg_163,Autres emprunts obligataires,163000,liability_current,FALSE
pcg_1641,Emprunts à LT à plus d'un an,164100,liability_current,FALSE
pcg_1642,Emprunts à MT à moins d'un an,164200,liability_current,FALSE
pcg_165,Dépôts et cautionnements reçus,165000,liability_current,FALSE
pcg_167,Dettes sur contrat de location-financement,167000,liability_current,FALSE
pcg_1681,Autres emprunts,168100,liability_current,FALSE
pcg_1688,Intérêts courus,168800,liability_current,FALSE
pcg_169,Primes de remboursement des obligations,169000,liability_current,FALSE
pcg_171,Dettes rattachées à des participations groupe,171000,liability_current,FALSE
pcg_172,Dettes rattachées à des participations hors groupe,172000,liability_current,FALSE
pcg_173,Dettes rattachées à des sociétés en participation,173000,liability_current,FALSE
pcg_1781,Principal,178100,liability_current,FALSE
pcg_1788,Intérêts courus,178800,liability_current,FALSE
pcg_181,Comptes de liaison entre établissements,181000,liability_current,FALSE
pcg_188,Comptes de liaison entre sociétés en participation,188000,liability_current,FALSE
pcg_203,Frais de développement immobilisables,203000,asset_fixed,FALSE
pcg_204,Logiciels informatiques et assimilés,204000,asset_fixed,FALSE
pcg_205,"Concessions et droits similaires, brevets, licences, marques",205000,asset_fixed,FALSE
pcg_207,Fonds commercial,207000,asset_fixed,FALSE
pcg_208,Autres immobilisations incorporelles,208000,asset_fixed,FALSE
pcg_211,Terrains,211000,asset_fixed,FALSE
pcg_212,Agencements et aménagements de terrain,212000,asset_fixed,FALSE
pcg_2131,Bâtiments,213100,asset_fixed,FALSE
pcg_2135,"Installations générales, agencements, aménagements",213500,asset_fixed,FALSE
pcg_2151,Installations complexes spécialisées,215100,asset_fixed,FALSE
pcg_2154,Matériel industriel,215400,asset_fixed,FALSE
pcg_2155,Outillage industriel,215500,asset_fixed,FALSE
pcg_2157,Agencements et aménagements du matériel et outillage industriel,215700,asset_fixed,FALSE
pcg_2181,"Installations générales, agencements, aménagements",218100,asset_fixed,FALSE
pcg_2182,Matériel de transport,218200,asset_fixed,FALSE
pcg_2183,Matériel de bureau et matériel informatique,218300,asset_fixed,FALSE
pcg_2184,Mobilier,218400,asset_fixed,FALSE
pcg_2185,Cheptel,218500,asset_fixed,FALSE
pcg_2186,Matériel d'emballage,218600,asset_fixed,FALSE
pcg_221,Terrains en concession,221000,asset_fixed,FALSE
pcg_222,Agencements et aménagements de terrain en concession,222000,asset_fixed,FALSE
pcg_223,Constructions en concession,223000,asset_fixed,FALSE
pcg_225,Installations techniques en concession,225000,asset_fixed,FALSE
pcg_228,Autres immobilisations corporelles en concession,228000,asset_fixed,FALSE
pcg_229,Droits du concédant,229000,asset_fixed,FALSE
pcg_232,Immobilisations corporelles en cours,232000,asset_fixed,FALSE
pcg_237,Immobilisations incorporelles en cours,237000,asset_fixed,FALSE
pcg_238,Avances et acomptes versés sur commandes d'immobilisations,238000,asset_current,FALSE
pcg_2611,Actions,261100,asset_fixed,FALSE
pcg_2612,Autres titres,261200,asset_fixed,FALSE
pcg_2618,Intérêts courus,261800,asset_fixed,FALSE
pcg_262,Autres formes de participations,262000,asset_fixed,FALSE
pcg_265,Titres de participation évalués par équivalence,265000,asset_fixed,FALSE
pcg_266,Créances rattachées à des participations groupe,266000,asset_fixed,FALSE
pcg_2671,Créances rattachées à des participations (groupe),267100,asset_fixed,FALSE
pcg_2674,Créances rattachées à des participations (hors groupe),267400,asset_fixed,FALSE
pcg_268,Créances rattachées à des sociétés en participation,268000,asset_fixed,FALSE
pcg_269,Versements restant à effectuer sur titres de participation non libérés,269000,asset_fixed,FALSE
pcg_2711,Actions,271100,asset_fixed,FALSE
pcg_2712,Autres titres,271200,asset_fixed,FALSE
pcg_272,"Titres représentatifs de droit de créance (obligations, bons)",272000,asset_fixed,FALSE
pcg_273,Titres immobilisés de l'activité de portefeuille,273000,asset_fixed,FALSE
pcg_2741,Prêts participatifs,274100,asset_fixed,FALSE
pcg_2742,Prêts aux associés,274200,asset_fixed,FALSE
pcg_2743,Prêts au personnel,274300,asset_fixed,FALSE
pcg_2745,Prêts à LT,274500,asset_fixed,FALSE
pcg_2746,Prêts à CT,274600,asset_fixed,FALSE
pcg_2748,Autres prêts,274800,asset_fixed,FALSE
pcg_2751,Dépôts,275100,asset_fixed,FALSE
pcg_276,Autres créances immobilisées,276000,asset_fixed,FALSE
pcg_277,Actions propres (ou parts propres),277000,asset_fixed,FALSE
pcg_279,Versements restant à effectuer sur titres immobilisés non libérés,279000,asset_fixed,FALSE
pcg_2803,Frais de développement immobilisables,280300,asset_fixed,FALSE
pcg_2804,Logiciels informatiques et assimilés,280400,asset_fixed,FALSE
pcg_2805,"Concessions et droits similaires, brevets, licences, marques",280500,asset_fixed,FALSE
pcg_2807,Fonds commercial,280700,asset_fixed,FALSE
pcg_2808,Autres immobilisations incorporelles,280800,asset_fixed,FALSE
pcg_2811,Terrains,281100,asset_fixed,FALSE
pcg_2812,Agencements et aménagements de terrain,281200,asset_fixed,FALSE
pcg_28131,Bâtiments,281310,asset_fixed,FALSE
pcg_28135,"Installations générales, agencements, aménagements",281350,asset_fixed,FALSE
pcg_28151,Installations complexes spécialisées,281510,asset_fixed,FALSE
pcg_28154,Matériel industriel,281540,asset_fixed,FALSE
pcg_28155,Outillage industriel,281550,asset_fixed,FALSE
pcg_28157,Agencements et aménagements du matériel et outillage industriel,281570,asset_fixed,FALSE
pcg_28181,"Installations générales, agencements, aménagements",281810,asset_fixed,FALSE
pcg_28182,Matériel de transport,281820,asset_fixed,FALSE
pcg_28183,Matériel de bureau et matériel informatique,281830,asset_fixed,FALSE
pcg_28184,Mobilier,281840,asset_fixed,FALSE
pcg_28185,Cheptel,281850,asset_fixed,FALSE
pcg_28186,Emballages récupérables,281860,asset_fixed,FALSE
pcg_282,Amortissement des immobilisations mises en concession,282000,asset_fixed,FALSE
pcg_290,Perte de valeur sur immobilisations incorporelles,290000,asset_fixed,FALSE
pcg_291,Perte de valeur sur immobilisations corporelles,291000,asset_fixed,FALSE
pcg_292,Dépréciation sur immobilisations mises en concession,292000,asset_fixed,FALSE
pcg_293,Perte de valeur sur immobilisations en cours,293000,asset_fixed,FALSE
pcg_296,Perte de valeur sur participations et créances rattachées à participations,296000,asset_fixed,FALSE
pcg_297,Perte de valeur sur autres immobilisations financières,297000,asset_fixed,FALSE
pcg_321,Matières consommables,321000,asset_current,FALSE
pcg_3221,Combustibles,322100,asset_current,FALSE
pcg_3222,Produits d'entretiens,322200,asset_current,FALSE
pcg_3223,Fournitures d'atelier et d'usine,322300,asset_current,FALSE
pcg_3224,Fournitures de magasin,322400,asset_current,FALSE
pcg_3225,Fournitures de bureau,322500,asset_current,FALSE
pcg_3261,Emballages perdues,326100,asset_current,FALSE
pcg_3265,Emballages récupérables,326500,asset_current,FALSE
pcg_331,Produits en cours,331000,asset_current,FALSE
pcg_335,Travaux en cours,335000,asset_current,FALSE
pcg_341,Etudes en cours,341000,asset_current,FALSE
pcg_345,Prestations de service en cours,345000,asset_current,FALSE
pcg_351,Produits intermédiaires,351000,asset_current,FALSE
pcg_355,Produits finis,355000,asset_current,FALSE
pcg_3581,Déchets,358100,asset_current,FALSE
pcg_3585,Rébuts,358500,asset_current,FALSE
pcg_3586,Matériels de récupération,358600,asset_current,FALSE
pcg_370,Stocks de marchandises,370000,asset_current,FALSE
pcg_380,Stocks à l'extérieur,380000,asset_current,FALSE
pcg_391,Pertes de valeur Matières premières et fournitures,391000,asset_current,FALSE
pcg_3921,Matières consommables,392100,asset_current,FALSE
pcg_39221,Combustibles,392210,asset_current,FALSE
pcg_39222,Produits d'entretiens,392220,asset_current,FALSE
pcg_39223,Fournitures d'atelier et d'usine,392230,asset_current,FALSE
pcg_39224,Fournitures de magasin,392240,asset_current,FALSE
pcg_39225,Fournitures de bureau,392250,asset_current,FALSE
pcg_3926,Emballages,392600,asset_current,FALSE
pcg_393,Pertes de valeur En cours de production de biens,393000,asset_current,FALSE
pcg_394,Pertes de valeur En cours de production de services,394000,asset_current,FALSE
pcg_395,Pertes de valeur stocks de produits,395000,asset_current,FALSE
pcg_397,Pertes de valeur Stocks de marchandises,397000,asset_current,FALSE
pcg_398,Pertes de valeur Stocks à l'extérieur,398000,asset_current,FALSE
pcg_4011,Fournisseurs Malagasy,401100,liability_payable,TRUE
pcg_4012,Fournisseurs Etranger,401200,liability_payable,TRUE
pcg_403,Fournisseurs effets à payer,403000,liability_payable,TRUE
pcg_404,Fournisseurs d'immobilisations,404000,liability_payable,TRUE
pcg_405,Fournisseurs d'immobilisations effets à payer,405000,liability_payable,TRUE
pcg_408,Fournisseurs factures non parvenues,408000,liability_current,TRUE
pcg_4088,Fournisseurs intérêts courus,408800,liability_current,TRUE
pcg_4091,Fournisseurs Avances et acomptes versés sur commandes,409100,liability_current,TRUE
pcg_4096,Fournisseurs Créances pour emballage et matériel à rendre,409600,liability_current,TRUE
pcg_4097,Fournisseurs Autres avoirs,409700,liability_current,TRUE
pcg_4098,"Rabais, remises, ristournes à obtenir et autres avoirs non encore reçus",409800,liability_current,TRUE
pcg_4111,Clients Malagasy,411100,asset_receivable,TRUE
pcg_4112,Clients Etrangers,411200,asset_receivable,TRUE
pcg_413,Clients effets à recevoir,413000,asset_receivable,TRUE
pcg_414,Effets à l'encaissement,414000,asset_receivable,TRUE
pcg_415,Effets remis à l'escompte,415000,asset_receivable,TRUE
pcg_416,Clients douteux,416000,asset_current,TRUE
pcg_417,Créances sur travaux non encore facturables,417000,asset_current,TRUE
